preprocessing,model,k1,b,query,P@10,R@10,F1@10,AP@all,AP@10,RR,NDCG@10
raw,vector,,,1,0.5000,0.1786,0.2632,0.2261,0.1347,1.0000,0.3870
raw,vector,,,2,0.4000,0.1667,0.2353,0.1949,0.1488,1.0000,0.5473
raw,vector,,,3,0.5000,0.6250,0.5556,0.6507,0.5330,1.0000,0.7036
raw,vector,,,4,0.2000,1.0000,0.3333,0.6000,0.6000,1.0000,0.7904
raw,vector,,,5,0.1000,0.2500,0.1429,0.1268,0.0500,0.2000,0.1845
raw,vector,,,6,0.1000,0.2500,0.1429,0.0480,0.0312,0.1250,0.1030
raw,vector,,,7,0.2000,0.4000,0.2667,0.2517,0.2333,0.5000,0.3474
raw,vector,,,8,0.1000,0.0909,0.0952,0.0959,0.0182,0.2000,0.1033
raw,vector,,,9,0.2000,0.6667,0.3077,0.4238,0.4167,1.0000,0.6173
raw,vector,,,10,0.2000,0.2500,0.2222,0.1120,0.0729,0.2500,0.2023
raw,vector,,,11,0.2000,0.2857,0.2353,0.1639,0.1032,0.5000,0.1989
raw,vector,,,12,0.1000,0.2000,0.1333,0.0988,0.0250,0.1250,0.1172
raw,vector,,,13,0.0000,0.0000,0.0000,0.0034,0.0000,0.0038,0.0000
raw,vector,,,14,0.1000,0.5000,0.1667,0.0928,0.0625,0.1250,0.2725
raw,vector,,,15,0.2000,1.0000,0.3333,0.8333,0.8333,1.0000,0.7602
raw,vector,,,16,0.1000,0.3333,0.1538,0.1947,0.1667,0.5000,0.2398
raw,vector,,,17,0.1000,0.5000,0.1667,0.5118,0.5000,1.0000,0.7039
raw,vector,,,18,0.1000,0.3333,0.1538,0.0916,0.0667,0.2000,0.1815
raw,vector,,,19,0.0000,0.0000,0.0000,0.0162,0.0000,0.0769,0.0000
raw,vector,,,20,0.5000,0.5556,0.5263,0.4506,0.3028,0.3333,0.4676
raw,vector,,,21,0.1000,0.2500,0.1429,0.2261,0.1250,0.5000,0.3058
raw,vector,,,22,0.0000,0.0000,0.0000,0.0018,0.0000,0.0018,0.0000
raw,vector,,,23,0.3000,0.0938,0.1429,0.1397,0.0430,0.5000,0.3120
raw,vector,,,24,0.2000,0.6667,0.3077,0.5023,0.5000,1.0000,0.7284
raw,vector,,,25,0.4000,0.4444,0.4211,0.4756,0.3611,1.0000,0.5000
raw,vector,,,26,0.2000,0.3333,0.2500,0.1635,0.0893,0.2500,0.2647
raw,vector,,,27,0.1000,0.3333,0.1538,0.1219,0.1111,0.3333,0.2851
raw,vector,,,28,0.0000,0.0000,0.0000,0.0018,0.0000,0.0017,0.0000
raw,vector,,,29,0.4000,0.4444,0.4211,0.4516,0.3778,1.0000,0.4626
raw,vector,,,30,0.0000,0.0000,0.0000,0.0529,0.0000,0.0588,0.0000
raw,vector,,,31,0.0000,0.0000,0.0000,0.0007,0.0000,0.0007,0.0000
raw,vector,,,32,0.0000,0.0000,0.0000,0.0196,0.0000,0.0208,0.0000
raw,vector,,,33,0.2000,0.6667,0.3077,0.4274,0.3889,0.5000,0.4683
raw,vector,,,34,0.1000,0.1667,0.1250,0.1641,0.0278,0.1667,0.0827
raw,vector,,,35,0.0000,0.0000,0.0000,0.0240,0.0000,0.0357,0.0000
raw,vector,,,36,0.0000,0.0000,0.0000,0.0404,0.0000,0.0769,0.0000
raw,vector,,,37,0.3000,0.3333,0.3158,0.1808,0.0929,0.2500,0.2406
raw,vector,,,38,0.0000,0.0000,0.0000,0.0404,0.0000,0.0526,0.0000
raw,vector,,,39,0.3000,0.2308,0.2609,0.2158,0.1615,1.0000,0.2532
raw,vector,,,40,0.0000,0.0000,0.0000,0.0239,0.0000,0.0233,0.0000
raw,vector,,,41,0.3000,1.0000,0.4615,0.8333,0.8333,1.0000,0.9120
raw,vector,,,42,0.3000,0.6000,0.4000,0.1992,0.1917,0.2500,0.3934
raw,vector,,,43,0.4000,0.6667,0.5000,0.4517,0.3730,0.5000,0.6043
raw,vector,,,44,0.0000,0.0000,0.0000,0.0024,0.0000,0.0015,0.0000
raw,vector,,,45,0.2000,0.1667,0.1818,0.1219,0.0694,0.5000,0.2431
raw,vector,,,46,0.4000,0.2667,0.3200,0.2737,0.1811,0.5000,0.3211
raw,vector,,,47,0.4000,0.2857,0.3333,0.2341,0.1088,0.2500,0.3084
raw,vector,,,48,0.2000,0.1818,0.1905,0.1472,0.1061,0.5000,0.2556
raw,vector,,,49,0.1000,0.5000,0.1667,0.2682,0.2500,0.5000,0.4796
raw,vector,,,50,0.1000,0.1667,0.1250,0.0283,0.0167,0.1000,0.1321
raw,vector,,,51,0.4000,0.4000,0.4000,0.4364,0.3417,1.0000,0.4228
raw,vector,,,52,0.4000,1.0000,0.5714,0.8611,0.8611,1.0000,0.7761
raw,vector,,,53,0.2000,0.2000,0.2000,0.2712,0.1667,1.0000,0.2429
raw,vector,,,54,0.2000,0.2222,0.2105,0.1549,0.0926,0.5000,0.2930
raw,vector,,,55,0.2000,0.2000,0.2000,0.2221,0.1400,1.0000,0.3063
raw,vector,,,56,0.1000,0.1000,0.1000,0.0870,0.0111,0.1111,0.0392
raw,vector,,,57,0.1000,0.0714,0.0833,0.0928,0.0179,0.2500,0.0531
raw,vector,,,58,0.1000,0.1111,0.1053,0.1030,0.0370,0.3333,0.1919
raw,vector,,,59,0.0000,0.0000,0.0000,0.0390,0.0000,0.0909,0.0000
raw,vector,,,60,0.3000,0.6000,0.4000,0.5375,0.5200,1.0000,0.5600
raw,vector,,,61,0.2000,0.4000,0.2667,0.2054,0.1667,0.3333,0.3307
raw,vector,,,62,0.0000,0.0000,0.0000,0.0431,0.0000,0.0909,0.0000
raw,vector,,,63,0.0000,0.0000,0.0000,0.0049,0.0000,0.0044,0.0000
raw,vector,,,64,0.2000,1.0000,0.3333,0.3750,0.3750,0.5000,0.5889
raw,vector,,,65,0.5000,0.3333,0.4000,0.3983,0.3010,1.0000,0.5890
raw,vector,,,66,0.2000,0.4000,0.2667,0.1637,0.1111,0.3333,0.3192
raw,vector,,,67,0.8000,0.5714,0.6667,0.6481,0.5482,1.0000,0.8180
raw,vector,,,68,0.2000,0.4000,0.2667,0.1668,0.1500,0.5000,0.3659
raw,vector,,,69,0.0000,0.0000,0.0000,0.0310,0.0000,0.0256,0.0000
raw,vector,,,70,0.0000,0.0000,0.0000,0.0644,0.0000,0.0625,0.0000
raw,vector,,,71,0.0000,0.0000,0.0000,0.0361,0.0000,0.0238,0.0000
raw,vector,,,72,0.0000,0.0000,0.0000,0.0347,0.0000,0.0909,0.0000
raw,vector,,,73,0.5000,0.2500,0.3333,0.2999,0.1965,1.0000,0.5476
raw,vector,,,74,0.0000,0.0000,0.0000,0.0486,0.0000,0.0714,0.0000
raw,vector,,,75,0.1000,0.2000,0.1333,0.0818,0.0400,0.2000,0.1122
raw,vector,,,76,0.2000,0.2857,0.2353,0.1823,0.1000,0.5000,0.2390
raw,vector,,,77,0.5000,0.8333,0.6250,0.7338,0.6750,1.0000,0.6454
raw,vector,,,78,0.3000,1.0000,0.4615,0.4206,0.4206,0.5000,0.5653
raw,vector,,,79,0.1000,0.2000,0.1333,0.0683,0.0500,0.2500,0.1881
raw,vector,,,80,0.0000,0.0000,0.0000,0.0338,0.0000,0.0500,0.0000
raw,vector,,,81,0.1000,0.5000,0.1667,0.1603,0.0833,0.1667,0.0769
raw,vector,,,82,0.3000,0.6000,0.4000,0.5810,0.5500,1.0000,0.6888
raw,vector,,,83,0.1000,0.2500,0.1429,0.2570,0.2500,1.0000,0.3904
raw,vector,,,84,0.2000,0.1818,0.1905,0.1205,0.0384,0.2000,0.1358
raw,vector,,,85,0.1000,0.2500,0.1429,0.0652,0.0500,0.2000,0.0998
raw,vector,,,86,0.2000,1.0000,0.3333,0.5833,0.5833,0.5000,0.6934
raw,vector,,,87,0.0000,0.0000,0.0000,0.0119,0.0000,0.0093,0.0000
raw,vector,,,88,0.6000,1.0000,0.7500,0.6746,0.6746,0.5000,0.6985
raw,vector,,,89,0.2000,0.3333,0.2500,0.3021,0.2037,1.0000,0.4671
raw,vector,,,90,0.3000,0.2308,0.2609,0.2709,0.1474,0.5000,0.2140
raw,vector,,,91,0.2000,0.2222,0.2105,0.1735,0.0617,0.3333,0.2287
raw,vector,,,92,0.6000,0.4615,0.5217,0.5573,0.4377,1.0000,0.5035
raw,vector,,,93,0.1000,1.0000,0.1818,0.5000,0.5000,0.5000,0.6309
raw,vector,,,94,0.4000,0.3333,0.3636,0.4216,0.2662,1.0000,0.4524
raw,vector,,,95,0.1000,0.5000,0.1667,0.2121,0.1667,0.3333,0.1080
raw,vector,,,96,0.4000,0.3077,0.3478,0.2849,0.1573,0.5000,0.2910
raw,vector,,,97,0.2000,0.2000,0.2000,0.1371,0.1222,1.0000,0.2812
raw,vector,,,98,0.0000,0.0000,0.0000,0.0094,0.0000,0.0164,0.0000
raw,vector,,,99,0.2000,0.5000,0.2857,0.2507,0.2083,0.5000,0.3857
raw,vector,,,100,0.2000,0.2222,0.2105,0.2200,0.1296,0.5000,0.3065
raw,vector,,,101,0.5000,0.8333,0.6250,0.6236,0.5569,0.5000,0.6592
raw,vector,,,102,0.2000,0.5000,0.2857,0.4464,0.4167,1.0000,0.5462
raw,vector,,,103,0.0000,0.0000,0.0000,0.0137,0.0000,0.0250,0.0000
raw,vector,,,104,0.1000,0.2000,0.1333,0.0740,0.0250,0.1250,0.1070
raw,vector,,,105,0.2000,0.4000,0.2667,0.3794,0.3333,1.0000,0.6332
raw,vector,,,106,0.3000,0.6000,0.4000,0.1610,0.1505,0.1667,0.3182
raw,vector,,,107,0.2000,0.2857,0.2353,0.2241,0.1667,0.5000,0.2721
raw,vector,,,108,0.6000,0.8571,0.7059,0.9137,0.8367,1.0000,0.8256
raw,vector,,,109,0.0000,0.0000,0.0000,0.0230,0.0000,0.0417,0.0000
raw,vector,,,110,0.0000,0.0000,0.0000,0.0230,0.0000,0.0294,0.0000
raw,vector,,,111,0.2000,0.2857,0.2353,0.2669,0.0833,0.2500,0.2131
raw,vector,,,112,0.1000,0.5000,0.1667,0.2803,0.2500,0.5000,0.2398
raw,vector,,,113,0.2000,0.5000,0.2857,0.3895,0.3750,1.0000,0.5585
raw,vector,,,114,0.0000,0.0000,0.0000,0.0712,0.0000,0.0909,0.0000
raw,vector,,,115,0.0000,0.0000,0.0000,0.0196,0.0000,0.0182,0.0000
raw,vector,,,116,0.0000,0.0000,0.0000,0.0415,0.0000,0.0833,0.0000
raw,vector,,,117,0.0000,0.0000,0.0000,0.0256,0.0000,0.0294,0.0000
raw,vector,,,118,0.1000,0.3333,0.1538,0.1299,0.0370,0.1111,0.1144
raw,vector,,,119,0.0000,0.0000,0.0000,0.0625,0.0000,0.0625,0.0000
raw,vector,,,120,0.5000,0.5556,0.5263,0.5070,0.3713,0.5000,0.5654
raw,vector,,,121,0.5000,0.7143,0.5882,0.6251,0.5245,1.0000,0.6724
raw,vector,,,122,0.3000,0.3333,0.3158,0.1975,0.0966,0.2500,0.1903
raw,vector,,,123,0.0000,0.0000,0.0000,0.0693,0.0000,0.0909,0.0000
raw,vector,,,124,0.0000,0.0000,0.0000,0.0039,0.0000,0.0062,0.0000
raw,vector,,,125,0.2000,0.1176,0.1481,0.1770,0.0278,0.2500,0.1529
raw,vector,,,126,0.2000,0.2500,0.2222,0.2039,0.1875,1.0000,0.4500
raw,vector,,,127,0.1000,0.2000,0.1333,0.0899,0.0667,0.3333,0.1490
raw,vector,,,128,0.0000,0.0000,0.0000,0.0163,0.0000,0.0244,0.0000
raw,vector,,,129,0.4000,0.5714,0.4706,0.4807,0.4405,1.0000,0.6253
raw,vector,,,130,0.3000,0.6000,0.4000,0.5080,0.4533,1.0000,0.6032
raw,vector,,,131,0.2000,0.2500,0.2222,0.2301,0.0625,0.2500,0.2085
raw,vector,,,132,0.8000,0.5333,0.6400,0.6910,0.4474,1.0000,0.7402
raw,vector,,,133,0.1000,0.1429,0.1176,0.1841,0.0159,0.1111,0.0323
raw,vector,,,134,0.0000,0.0000,0.0000,0.0940,0.0000,0.0769,0.0000
raw,vector,,,135,0.3000,0.3750,0.3333,0.4354,0.2344,1.0000,0.2511
raw,vector,,,136,0.1000,0.3333,0.1538,0.2105,0.1667,0.5000,0.4919
raw,vector,,,137,0.2000,0.5000,0.2857,0.2786,0.1625,0.2500,0.2670
raw,vector,,,138,0.1000,0.5000,0.1667,0.0558,0.0500,0.1000,0.1772
raw,vector,,,139,0.0000,0.0000,0.0000,0.0058,0.0000,0.0033,0.0000
raw,vector,,,140,0.1000,0.1667,0.1250,0.1137,0.0833,0.5000,0.2509
raw,vector,,,141,0.2000,0.3333,0.2500,0.3930,0.3333,1.0000,0.5455
raw,vector,,,142,0.0000,0.0000,0.0000,0.0013,0.0000,0.0013,0.0000
raw,vector,,,143,0.1000,0.5000,0.1667,0.1268,0.0833,0.1667,0.2184
raw,vector,,,144,0.5000,0.8333,0.6250,0.7519,0.6750,1.0000,0.8135
raw,vector,,,145,0.4000,0.5714,0.4706,0.5065,0.4667,1.0000,0.6441
raw,vector,,,146,0.2000,1.0000,0.3333,0.7500,0.7500,1.0000,0.7075
raw,vector,,,147,0.3000,0.3000,0.3000,0.2729,0.1667,0.5000,0.3128
raw,vector,,,148,0.3000,0.5000,0.3750,0.4343,0.3611,1.0000,0.5964
raw,vector,,,149,0.4000,0.3636,0.3810,0.4023,0.2182,1.0000,0.4531
raw,vector,,,150,0.2000,1.0000,0.3333,0.5833,0.5833,0.5000,0.6934
raw,vector,,,151,0.0000,0.0000,0.0000,0.0146,0.0000,0.0133,0.0000
raw,vector,,,152,0.0000,0.0000,0.0000,0.0142,0.0000,0.0370,0.0000
raw,vector,,,153,0.3000,0.4286,0.3529,0.1901,0.1660,0.3333,0.2775
raw,vector,,,154,0.2000,1.0000,0.3333,0.3929,0.3929,0.5000,0.5307
raw,vector,,,155,0.3000,0.5000,0.3750,0.4656,0.4583,1.0000,0.4000
raw,vector,,,156,0.6000,0.4286,0.5000,0.5451,0.4286,1.0000,0.5471
raw,vector,,,157,0.5000,0.1282,0.2041,0.2141,0.0659,0.5000,0.3701
raw,vector,,,158,0.1000,0.1250,0.1111,0.1842,0.1250,1.0000,0.3630
raw,vector,,,159,0.0000,0.0000,0.0000,0.0425,0.0000,0.0833,0.0000
raw,vector,,,160,0.1000,0.2000,0.1333,0.0596,0.0333,0.1667,0.1403
raw,vector,,,161,0.3000,0.5000,0.3750,0.4339,0.4167,1.0000,0.7001
raw,vector,,,162,0.3000,0.3750,0.3333,0.2106,0.1542,0.5000,0.2654
raw,vector,,,163,0.2000,0.6667,0.3077,0.3948,0.3889,0.5000,0.5307
raw,vector,,,164,0.3000,0.3750,0.3333,0.3265,0.2208,0.5000,0.3971
raw,vector,,,165,0.1000,0.5000,0.1667,0.2576,0.1667,0.3333,0.3066
raw,vector,,,166,0.0000,0.0000,0.0000,0.0202,0.0000,0.0500,0.0000
raw,vector,,,167,0.1000,0.5000,0.1667,0.1125,0.0625,0.1250,0.2221
raw,vector,,,168,0.1000,0.5000,0.1667,0.1266,0.1250,0.2500,0.2641
raw,vector,,,169,0.2000,0.5000,0.2857,0.1868,0.1833,0.3333,0.3462
raw,vector,,,170,0.4000,0.6667,0.5000,0.4345,0.4241,1.0000,0.6030
raw,vector,,,171,0.2000,0.6667,0.3077,0.5435,0.5000,1.0000,0.6308
raw,vector,,,172,0.4000,1.0000,0.5714,0.6792,0.6792,0.5000,0.7180
raw,vector,,,173,0.2000,1.0000,0.3333,0.6111,0.6111,1.0000,0.7977
raw,vector,,,174,0.0000,0.0000,0.0000,0.0518,0.0000,0.0833,0.0000
raw,vector,,,175,0.1000,0.2000,0.1333,0.0451,0.0286,0.1429,0.1246
raw,vector,,,176,0.1000,0.1429,0.1176,0.0792,0.0286,0.2000,0.1282
raw,vector,,,177,0.3000,0.6000,0.4000,0.5761,0.4200,1.0000,0.4835
raw,vector,,,178,0.3000,0.7500,0.4286,0.5095,0.4750,1.0000,0.8284
raw,vector,,,179,0.2000,0.5000,0.2857,0.2309,0.2250,0.5000,0.3973
raw,vector,,,180,0.3000,0.4286,0.3529,0.2958,0.2286,0.5000,0.3208
raw,vector,,,181,0.1000,0.2000,0.1333,0.1287,0.0667,0.3333,0.1246
raw,vector,,,182,0.2000,1.0000,0.3333,0.4500,0.4500,0.5000,0.6267
raw,vector,,,183,0.6000,0.4615,0.5217,0.4999,0.4615,1.0000,0.3871
raw,vector,,,184,0.1000,0.1429,0.1176,0.0695,0.0143,0.1000,0.0833
raw,vector,,,185,0.7000,0.7778,0.7368,0.7291,0.6019,1.0000,0.7026
raw,vector,,,186,0.5000,0.3125,0.3846,0.2284,0.2059,1.0000,0.5482
raw,vector,,,187,0.2000,0.3333,0.2500,0.1476,0.1083,0.2500,0.2615
raw,vector,,,188,0.3000,0.2727,0.2857,0.3108,0.2273,1.0000,0.4507
raw,vector,,,189,0.1000,0.1111,0.1053,0.0654,0.0139,0.1250,0.0610
raw,vector,,,190,0.3000,0.6000,0.4000,0.5582,0.4833,1.0000,0.5925
raw,vector,,,191,0.5000,0.3846,0.4348,0.4848,0.2641,1.0000,0.3634
raw,vector,,,192,0.2000,0.5000,0.2857,0.2630,0.2083,0.5000,0.3854
raw,vector,,,193,0.8000,0.8889,0.8421,0.7804,0.7783,1.0000,0.7534
raw,vector,,,194,0.2000,0.3333,0.2500,0.2010,0.1111,0.3333,0.1539
raw,vector,,,195,0.0000,0.0000,0.0000,0.0428,0.0000,0.0476,0.0000
raw,vector,,,196,0.2000,0.1667,0.1818,0.1805,0.1250,1.0000,0.2735
raw,vector,,,197,0.3000,1.0000,0.4615,0.7917,0.7917,1.0000,0.8597
raw,vector,,,198,0.2000,0.5000,0.2857,0.2790,0.2083,0.3333,0.3849
raw,vector,,,199,0.2000,0.2500,0.2222,0.1101,0.0667,0.2000,0.1652
raw,vector,,,200,0.1000,0.3333,0.1538,0.2340,0.1667,0.5000,0.2961
raw,vector,,,201,0.4000,0.2500,0.3077,0.2897,0.1607,1.0000,0.4795
raw,vector,,,202,0.3000,0.2143,0.2500,0.1181,0.0750,0.5000,0.1150
raw,vector,,,203,0.4000,0.2857,0.3333,0.1776,0.1429,0.5000,0.4237
raw,vector,,,204,0.1000,0.0714,0.0833,0.0411,0.0119,0.1667,0.1223
raw,vector,,,205,0.0000,0.0000,0.0000,0.0205,0.0000,0.0286,0.0000
raw,vector,,,206,0.2000,0.6667,0.3077,0.1960,0.1944,0.2500,0.4006
raw,vector,,,207,0.0000,0.0000,0.0000,0.0063,0.0000,0.0039,0.0000
raw,vector,,,208,0.3000,0.5000,0.3750,0.3205,0.2500,0.5000,0.4834
raw,vector,,,209,0.4000,0.3333,0.3636,0.1775,0.1340,0.3333,0.2325
raw,vector,,,210,0.2000,0.3333,0.2500,0.3445,0.2778,1.0000,0.4826
raw,vector,,,211,0.1000,0.0909,0.0952,0.1766,0.0909,1.0000,0.1096
raw,vector,,,212,0.5000,0.3571,0.4167,0.5087,0.3046,1.0000,0.5249
raw,vector,,,213,0.6000,0.5455,0.5714,0.5096,0.4341,1.0000,0.7248
raw,vector,,,214,0.1000,0.2500,0.1429,0.1758,0.1250,0.5000,0.2463
raw,vector,,,215,0.0000,0.0000,0.0000,0.0210,0.0000,0.0217,0.0000
raw,vector,,,216,0.0000,0.0000,0.0000,0.0025,0.0000,0.0025,0.0000
raw,vector,,,217,0.2000,0.1333,0.1600,0.1014,0.0389,0.2500,0.1719
raw,vector,,,218,0.2000,0.1333,0.1600,0.0995,0.0356,0.2000,0.1113
raw,vector,,,219,0.0000,0.0000,0.0000,0.0331,0.0000,0.0213,0.0000
raw,vector,,,220,0.2000,0.1053,0.1379,0.1186,0.0207,0.1429,0.0916
raw,vector,,,221,0.2000,0.1111,0.1429,0.1084,0.0361,0.2500,0.1113
raw,vector,,,222,0.4000,0.4444,0.4211,0.2936,0.2407,0.5000,0.4323
raw,vector,,,223,0.1000,0.2500,0.1429,0.3241,0.2500,1.0000,0.3904
raw,vector,,,224,0.1000,0.1250,0.1111,0.1217,0.0125,0.1000,0.0762
raw,vector,,,225,0.2000,0.0833,0.1176,0.0650,0.0417,0.5000,0.1330
raw,bm25,0.5,0,1,0.5000,0.1786,0.2632,0.1496,0.0868,0.3333,0.2563
raw,bm25,0.5,0,2,0.4000,0.1667,0.2353,0.1527,0.1183,1.0000,0.4677
raw,bm25,0.5,0,3,0.4000,0.5000,0.4444,0.3950,0.3536,1.0000,0.5700
raw,bm25,0.5,0,4,0.1000,0.5000,0.1667,0.5417,0.5000,1.0000,0.6131
raw,bm25,0.5,0,5,0.2000,0.5000,0.2857,0.1894,0.1214,0.2000,0.2640
raw,bm25,0.5,0,6,0.1000,0.2500,0.1429,0.1504,0.1250,0.5000,0.2061
raw,bm25,0.5,0,7,0.2000,0.4000,0.2667,0.1922,0.1800,0.5000,0.3127
raw,bm25,0.5,0,8,0.1000,0.0909,0.0952,0.1367,0.0909,1.0000,0.2670
raw,bm25,0.5,0,9,0.2000,0.6667,0.3077,0.1725,0.1619,0.2000,0.3380
raw,bm25,0.5,0,10,0.1000,0.1250,0.1111,0.0923,0.0625,0.5000,0.1323
raw,bm25,0.5,0,11,0.2000,0.2857,0.2353,0.1301,0.0762,0.3333,0.2079
raw,bm25,0.5,0,12,0.0000,0.0000,0.0000,0.0325,0.0000,0.0256,0.0000
raw,bm25,0.5,0,13,0.0000,0.0000,0.0000,0.0029,0.0000,0.0016,0.0000
raw,bm25,0.5,0,14,0.1000,0.5000,0.1667,0.0591,0.0500,0.1000,0.2497
raw,bm25,0.5,0,15,0.2000,1.0000,0.3333,1.0000,1.0000,1.0000,0.8597
raw,bm25,0.5,0,16,0.1000,0.3333,0.1538,0.1397,0.0667,0.2000,0.1470
raw,bm25,0.5,0,17,0.0000,0.0000,0.0000,0.0405,0.0000,0.0588,0.0000
raw,bm25,0.5,0,18,0.1000,0.3333,0.1538,0.2075,0.1667,0.5000,0.2961
raw,bm25,0.5,0,19,0.0000,0.0000,0.0000,0.0099,0.0000,0.0303,0.0000
raw,bm25,0.5,0,20,0.1000,0.1111,0.1053,0.1732,0.0556,0.5000,0.1483
raw,bm25,0.5,0,21,0.0000,0.0000,0.0000,0.0418,0.0000,0.0556,0.0000
raw,bm25,0.5,0,22,0.0000,0.0000,0.0000,0.0016,0.0000,0.0016,0.0000
raw,bm25,0.5,0,23,0.1000,0.0312,0.0476,0.1085,0.0312,1.0000,0.2621
raw,bm25,0.5,0,24,0.2000,0.6667,0.3077,0.2256,0.2222,0.3333,0.4359
raw,bm25,0.5,0,25,0.4000,0.4444,0.4211,0.5337,0.3944,1.0000,0.5150
raw,bm25,0.5,0,26,0.2000,0.3333,0.2500,0.1979,0.1667,0.5000,0.3678
raw,bm25,0.5,0,27,0.0000,0.0000,0.0000,0.0400,0.0000,0.0714,0.0000
raw,bm25,0.5,0,28,0.0000,0.0000,0.0000,0.0015,0.0000,0.0012,0.0000
raw,bm25,0.5,0,29,0.3000,0.3333,0.3158,0.2535,0.1476,0.5000,0.2582
raw,bm25,0.5,0,30,0.2000,0.2857,0.2353,0.0912,0.0643,0.2500,0.1905
raw,bm25,0.5,0,31,0.0000,0.0000,0.0000,0.0007,0.0000,0.0007,0.0000
raw,bm25,0.5,0,32,0.0000,0.0000,0.0000,0.0126,0.0000,0.0071,0.0000
raw,bm25,0.5,0,33,0.3000,1.0000,0.4615,0.4333,0.4333,0.5000,0.6036
raw,bm25,0.5,0,34,0.2000,0.3333,0.2500,0.1625,0.0754,0.1667,0.1602
raw,bm25,0.5,0,35,0.0000,0.0000,0.0000,0.0241,0.0000,0.0385,0.0000
raw,bm25,0.5,0,36,0.1000,0.5000,0.1667,0.0735,0.0714,0.1429,0.1564
raw,bm25,0.5,0,37,0.1000,0.1111,0.1053,0.1060,0.0159,0.1429,0.0986
raw,bm25,0.5,0,38,0.0000,0.0000,0.0000,0.0655,0.0000,0.0714,0.0000
raw,bm25,0.5,0,39,0.3000,0.2308,0.2609,0.1004,0.0630,0.2000,0.1842
raw,bm25,0.5,0,40,0.0000,0.0000,0.0000,0.0415,0.0000,0.0357,0.0000
raw,bm25,0.5,0,41,0.3000,1.0000,0.4615,0.8095,0.8095,1.0000,0.9006
raw,bm25,0.5,0,42,0.2000,0.4000,0.2667,0.1268,0.0786,0.1429,0.2505
raw,bm25,0.5,0,43,0.3000,0.5000,0.3750,0.3109,0.2500,0.5000,0.4715
raw,bm25,0.5,0,44,0.0000,0.0000,0.0000,0.0021,0.0000,0.0013,0.0000
raw,bm25,0.5,0,45,0.1000,0.0833,0.0909,0.0769,0.0208,0.2500,0.1205
raw,bm25,0.5,0,46,0.5000,0.3333,0.4000,0.3761,0.2594,1.0000,0.4459
raw,bm25,0.5,0,47,0.3000,0.2143,0.2500,0.2520,0.0680,0.3333,0.2438
raw,bm25,0.5,0,48,0.3000,0.2727,0.2857,0.2731,0.2197,1.0000,0.4364
raw,bm25,0.5,0,49,0.0000,0.0000,0.0000,0.0506,0.0000,0.0833,0.0000
raw,bm25,0.5,0,50,0.0000,0.0000,0.0000,0.0153,0.0000,0.0200,0.0000
raw,bm25,0.5,0,51,0.3000,0.3000,0.3000,0.2754,0.1586,1.0000,0.2901
raw,bm25,0.5,0,52,0.1000,0.2500,0.1429,0.1252,0.0500,0.2000,0.1701
raw,bm25,0.5,0,53,0.3000,0.3000,0.3000,0.2499,0.1700,1.0000,0.3809
raw,bm25,0.5,0,54,0.3000,0.3333,0.3158,0.2009,0.1370,0.5000,0.3401
raw,bm25,0.5,0,55,0.2000,0.2000,0.2000,0.1437,0.0452,0.1667,0.1226
raw,bm25,0.5,0,56,0.2000,0.2000,0.2000,0.1341,0.0900,0.5000,0.1830
raw,bm25,0.5,0,57,0.0000,0.0000,0.0000,0.0676,0.0000,0.0714,0.0000
raw,bm25,0.5,0,58,0.2000,0.2222,0.2105,0.1008,0.0648,0.3333,0.2726
raw,bm25,0.5,0,59,0.1000,0.2500,0.1429,0.0693,0.0312,0.1250,0.1030
raw,bm25,0.5,0,60,0.2000,0.4000,0.2667,0.3227,0.2667,1.0000,0.3876
raw,bm25,0.5,0,61,0.2000,0.4000,0.2667,0.4534,0.4000,1.0000,0.5451
raw,bm25,0.5,0,62,0.0000,0.0000,0.0000,0.0175,0.0000,0.0303,0.0000
raw,bm25,0.5,0,63,0.0000,0.0000,0.0000,0.0052,0.0000,0.0041,0.0000
raw,bm25,0.5,0,64,0.0000,0.0000,0.0000,0.0233,0.0000,0.0345,0.0000
raw,bm25,0.5,0,65,0.1000,0.0667,0.0800,0.0973,0.0074,0.1111,0.0750
raw,bm25,0.5,0,66,0.0000,0.0000,0.0000,0.0484,0.0000,0.0769,0.0000
raw,bm25,0.5,0,67,0.1000,0.0714,0.0833,0.1304,0.0238,0.3333,0.1337
raw,bm25,0.5,0,68,0.1000,0.2000,0.1333,0.1098,0.0500,0.2500,0.1873
raw,bm25,0.5,0,69,0.1000,0.2000,0.1333,0.0560,0.0286,0.1429,0.1400
raw,bm25,0.5,0,70,0.1000,0.1000,0.1000,0.0827,0.0250,0.2500,0.1045
raw,bm25,0.5,0,71,0.1000,0.1250,0.1111,0.0751,0.0312,0.2500,0.1402
raw,bm25,0.5,0,72,0.0000,0.0000,0.0000,0.0247,0.0000,0.0556,0.0000
raw,bm25,0.5,0,73,0.4000,0.2000,0.2667,0.3156,0.1597,1.0000,0.5639
raw,bm25,0.5,0,74,0.1000,0.1667,0.1250,0.0969,0.0556,0.3333,0.2123
raw,bm25,0.5,0,75,0.0000,0.0000,0.0000,0.0195,0.0000,0.0125,0.0000
raw,bm25,0.5,0,76,0.4000,0.5714,0.4706,0.2835,0.2778,0.5000,0.4568
